state,sex,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
Johor,both,01/01/1982,653.1,630.2,22.9,345.1,65.4,3.5,63.4
Johor,both,01/01/1983,650.9,623.7,27.2,344.1,65.4,4.2,60.5
Johor,both,01/01/1984,688.2,657.3,30.9,372.1,64.9,4.5,61.7
Johor,both,01/01/1985,710.4,672.7,37.6,354.7,66.7,5.3,61.2
Johor,both,01/01/1986,751.2,700.4,50.8,367.8,67.1,6.8,61.7
Johor,both,01/01/1987,781.8,732.7,49.1,380.1,67.3,6.3,62.6
Johor,both,01/01/1988,837,792,45.1,396.5,67.9,5.4,65.7
Johor,both,01/01/1989,861.8,822.3,39.5,439.4,66.2,4.6,66.3
Johor,both,01/01/1990,949.1,914.1,35.1,449.6,67.9,3.7,71.6
Johor,both,01/01/1992,947.1,926,21.1,454,67.6,2.2,68.5
Johor,both,01/01/1993,1003,974.3,28.7,425.6,70.2,2.9,69.7
Johor,both,01/01/1995,915.4,891.8,23.6,496.3,64.8,2.6,59.6
Johor,both,01/01/1996,1018.4,996.7,21.7,508.3,66.7,2.1,64.4
Johor,both,01/01/1997,1076.9,1058.4,18.6,516.3,67.6,1.7,66.2
Johor,both,01/01/1998,1044.3,1027,17.3,565.9,64.9,1.7,62.2
Johor,both,01/01/1999,1060.4,1029,31.4,608.8,63.5,3,60.2
Johor,both,01/01/2000,1222.4,1195.4,27,604.1,66.9,2.2,68
Johor,both,01/01/2001,1279,1235.9,43.1,666.3,65.7,3.4,68.4
Johor,both,01/01/2002,1259,1222.3,36.7,628.5,66.7,2.9,65.9
Johor,both,01/01/2003,1315.3,1269.1,46.2,631.2,67.6,3.5,66.5
Johor,both,01/01/2004,1278.8,1232.6,46.2,650.3,66.3,3.6,62.9
Johor,both,01/01/2005,1280,1237.1,42.9,693.8,64.9,3.3,61.4
Johor,both,01/01/2006,1285.8,1258.1,27.6,726.7,63.9,2.1,60.9
Johor,both,01/01/2007,1313.6,1286.7,26.9,745.7,63.8,2,60.7
Johor,both,01/01/2008,1313.1,1283.8,29.3,790.3,62.4,2.2,59.1
Johor,both,01/01/2009,1350,1306.3,43.7,791.8,63,3.2,58.8
Johor,both,01/01/2010,1453.5,1418.8,34.7,819,64,2.4,62.4
Johor,both,01/01/2011,1499.9,1461.9,38,816.3,64.8,2.5,63.1
Johor,both,01/01/2012,1529.4,1481.5,47.9,821.9,65,3.1,63
Johor,both,01/01/2013,1598.9,1553.4,45.4,771.3,67.5,2.8,65.5
Johor,both,01/01/2014,1621.1,1579.7,41.4,778.8,67.5,2.6,64.5
Johor,both,01/01/2015,1633.2,1582.6,50.6,799.9,67.1,3.1,63.5
Johor,both,01/01/2016,1639.1,1580.6,58.5,820.7,66.6,3.6,62.5
Johor,both,01/01/2017,1673.8,1616.7,57.1,824.4,67,3.4,63
Johor,both,01/01/2018,1745.1,1693.3,51.9,788.2,68.9,3,65
Johor,both,01/01/2019,1805.7,1756.1,49.6,761.6,70.3,2.7,67.3
Johor,both,01/01/2020,1990.9,1920.5,70.3,826.9,70.7,3.5,68.4
Johor,both,01/01/2021,1986.7,1913.2,73.5,832.1,70.5,3.7,68
Johor,both,01/01/2022,2013.4,1949.2,64.2,818.2,71.1,3.2,68.9
Johor,both,01/01/2023,2071.3,2017.9,53.4,833.6,71.3,2.6,69.5
Johor,female,01/01/1982,232.5,221.6,10.9,275.9,45.7,4.7,44.7
Johor,female,01/01/1983,233.3,221.5,11.8,268.3,46.5,5.1,43.3
Johor,female,01/01/1984,236.6,223.4,13.2,297.6,44.3,5.6,42.4
Johor,female,01/01/1985,243.9,228,15.9,283.8,46.2,6.5,42.1
Johor,female,01/01/1986,263.6,241.6,22,295.2,47.2,8.3,43.3
Johor,female,01/01/1987,275.5,254.6,20.9,302.7,47.6,7.6,44.4
Johor,female,01/01/1988,288.2,270.2,18,317.5,47.6,6.2,45.9
Johor,female,01/01/1989,294.1,279.5,14.6,352.5,45.5,5,46.2
Johor,female,01/01/1990,339.1,324.7,14.4,362,48.4,4.2,52.3
Johor,female,01/01/1992,329.3,321.4,7.9,356,48.1,2.4,49
Johor,female,01/01/1993,360,348.6,11.3,340.3,51.4,3.1,51.5
Johor,female,01/01/1995,305.8,296.2,9.6,392.3,43.8,3.1,41.1
Johor,female,01/01/1996,332.3,326.2,6.2,399.5,45.4,1.9,43.9
Johor,female,01/01/1997,351.9,345,6.8,400.5,46.8,1.9,45
Johor,female,01/01/1998,316.3,310,6.2,435.8,42.1,2,39.2
Johor,female,01/01/1999,332.1,323.6,8.6,460.1,41.9,2.6,39.7
Johor,female,01/01/2000,409.2,401.9,7.4,467.5,46.7,1.8,47.9
Johor,female,01/01/2001,435.4,420.2,15.2,500.4,46.5,3.5,48.9
Johor,female,01/01/2002,441.8,428.3,13.5,472,48.3,3.1,48.6
Johor,female,01/01/2003,460.2,442.9,17.3,474.5,49.2,3.8,49
Johor,female,01/01/2004,441.6,424.2,17.5,485.5,47.6,4,45.8
Johor,female,01/01/2005,436.2,422.8,13.5,513.1,46,3.1,44.6
Johor,female,01/01/2006,435.7,425.7,10,534,44.9,2.3,43.8
Johor,female,01/01/2007,450.1,439.5,10.6,544.4,45.3,2.4,44.2
Johor,female,01/01/2008,434.1,424.4,9.7,582.2,42.7,2.2,41.8
Johor,female,01/01/2009,467,450.6,16.4,569.8,45,3.5,43.4
Johor,female,01/01/2010,457.2,447.1,10.2,601.3,43.2,2.2,42.2
Johor,female,01/01/2011,486.4,474,12.4,593.9,45,2.6,43.9
Johor,female,01/01/2012,494.2,479.2,15,601,45.1,3,43.7
Johor,female,01/01/2013,562.1,543.3,18.8,546.5,50.7,3.3,49
Johor,female,01/01/2014,569.7,554.8,14.9,554.7,50.7,2.6,48.8
Johor,female,01/01/2015,581.5,559.3,22.2,561.1,50.9,3.8,48.3
Johor,female,01/01/2016,576.2,554.2,22,578.4,49.9,3.8,47.1
Johor,female,01/01/2017,583.8,562.8,21,579.7,50.2,3.6,47.1
Johor,female,01/01/2018,647.4,625.8,21.7,543.4,54.4,3.3,51.5
Johor,female,01/01/2019,682.3,665.2,17.1,524.5,56.5,2.5,54.3
Johor,female,01/01/2020,646.7003018,620.5957714,26.1045304,634.1549039,50.4897274,4.036573097,48.6
Johor,female,01/01/2021,645.6912675,616.5599095,29.13135805,641.6961891,50.15516224,4.511654334,48
Johor,female,01/01/2022,659.3847186,632.9585277,26.42619094,639.8621659,50.75130266,4.007704486,48.8
Johor,female,01/01/2023,670.7663932,648.4483523,22.3180409,649.8573773,50.79163409,3.327244943,49.1
Johor,male,01/01/1982,420.6,408.6,12,69.3,85.9,2.9,82
Johor,male,01/01/1983,417.6,402.2,15.4,75.8,84.6,3.7,77.5
Johor,male,01/01/1984,451.6,433.9,17.7,74.6,85.8,3.9,80.6
Johor,male,01/01/1985,466.4,444.7,21.7,70.9,86.8,4.6,79.8
Johor,male,01/01/1986,487.6,458.8,28.8,72.6,87,5.9,79.5
Johor,male,01/01/1987,506.4,478.2,28.2,77.3,86.8,5.6,80.1
Johor,male,01/01/1988,548.8,521.7,27.1,79,87.4,4.9,84.7
Johor,male,01/01/1989,567.6,542.8,24.9,86.8,86.7,4.4,85.3
Johor,male,01/01/1990,610,589.4,20.7,87.6,87.4,3.4,89.9
Johor,male,01/01/1992,617.8,604.6,13.2,98.1,86.3,2.1,86.9
Johor,male,01/01/1993,643.1,625.7,17.4,85.3,88.3,2.7,86.7
Johor,male,01/01/1995,609.6,595.6,14,104,85.4,2.3,76.7
Johor,male,01/01/1996,686.1,670.5,15.6,108.9,86.3,2.3,83.4
Johor,male,01/01/1997,725.1,713.3,11.7,115.8,86.2,1.6,85.6
Johor,male,01/01/1998,728,717,11,130.1,84.8,1.5,83.2
Johor,male,01/01/1999,728.3,705.5,22.8,148.8,83,3.1,79.1
Johor,male,01/01/2000,813.2,793.6,19.6,136.6,85.6,2.4,86.3
Johor,male,01/01/2001,843.6,815.7,27.9,165.9,83.6,3.3,86.2
Johor,male,01/01/2002,817.3,794,23.3,156.5,83.9,2.9,81.4
Johor,male,01/01/2003,855.1,826.2,28.9,156.7,84.5,3.4,82.3
Johor,male,01/01/2004,837.1,808.4,28.7,164.8,83.5,3.4,78.1
Johor,male,01/01/2005,843.7,814.3,29.4,180.7,82.4,3.5,76.4
Johor,male,01/01/2006,850.1,832.4,17.7,192.8,81.5,2.1,76
Johor,male,01/01/2007,863.5,847.2,16.3,201.3,81.1,1.9,75.3
Johor,male,01/01/2008,878.9,859.4,19.6,208.1,80.9,2.2,74.4
Johor,male,01/01/2009,883,855.7,27.3,222.1,79.9,3.1,72.2
Johor,male,01/01/2010,996.3,971.7,24.6,217.6,82.1,2.5,80.1
Johor,male,01/01/2011,1013.5,987.9,25.5,222.5,82,2.5,79.9
Johor,male,01/01/2012,1035.2,1002.3,32.9,220.9,82.4,3.2,79.8
Johor,male,01/01/2013,1036.7,1010.1,26.7,224.8,82.2,2.6,80
Johor,male,01/01/2014,1051.4,1024.9,26.5,224.1,82.4,2.5,78.1
Johor,male,01/01/2015,1051.6,1023.3,28.3,238.8,81.5,2.7,76.7
Johor,male,01/01/2016,1062.9,1026.5,36.4,242.3,81.4,3.4,75.9
Johor,male,01/01/2017,1090,1053.9,36.1,244.7,81.7,3.3,76.9
Johor,male,01/01/2018,1097.7,1067.5,30.2,244.9,81.8,2.8,76.9
Johor,male,01/01/2019,1123.4,1091,32.5,237.1,82.6,2.9,78.8
Johor,male,01/01/2020,1344.155034,1299.921607,44.23342709,192.7751654,87.45712945,3.290798007,85
Johor,male,01/01/2021,1341.022057,1296.63631,44.38574648,190.402847,87.5669485,3.309844626,84.9
Johor,male,01/01/2022,1354.004398,1316.198574,37.80582447,178.3713539,88.35981621,2.79214931,86
Johor,male,01/01/2023,1400.581504,1369.477154,31.10434917,183.7435325,88.40240933,2.220816788,86.4
Kedah,both,01/01/1982,403.9,389,15,259.2,60.9,3.7,58.3
Kedah,both,01/01/1983,388.2,373.6,14.7,226.6,63.1,3.8,54.4
Kedah,both,01/01/1984,442.6,417.6,25,276.3,61.6,5.6,59.8
Kedah,both,01/01/1985,445.4,413.8,31.5,276,61.7,7.1,58.1
Kedah,both,01/01/1986,455,418,37.1,296.2,60.6,8.1,57.5
Kedah,both,01/01/1987,456.5,420.1,36.4,291.3,61.1,8,56.8
Kedah,both,01/01/1988,496.1,459.3,36.9,295.8,62.6,7.4,61.1
Kedah,both,01/01/1989,470,443.3,26.8,288.7,61.9,5.7,58
Kedah,both,01/01/1990,489.3,467.6,21.6,301,61.9,4.4,59.9
Kedah,both,01/01/1992,514,495,19,305.6,62.7,3.7,60.8
Kedah,both,01/01/1993,492.8,475.1,17.8,294.9,62.6,3.6,56.9
Kedah,both,01/01/1995,531.7,521.1,10.6,335.3,61.3,2,59.5
Kedah,both,01/01/1996,549.8,535.9,13.8,361.6,60.3,2.5,59.8
Kedah,both,01/01/1997,616.6,601.3,15.3,378.6,62,2.5,65.4
Kedah,both,01/01/1998,587.1,567.3,19.8,372,61.2,3.4,60.3
Kedah,both,01/01/1999,701.4,678.7,22.7,422.4,62.4,3.2,70.4
Kedah,both,01/01/2000,645.2,626.5,18.7,391.3,62.2,2.9,63.4
Kedah,both,01/01/2001,727.4,701.1,26.4,460.2,61.2,3.6,69
Kedah,both,01/01/2002,666.5,645.1,21.4,425.8,61,3.2,61.8
Kedah,both,01/01/2003,680.1,657.7,22.4,408.1,62.5,3.3,61.4
Kedah,both,01/01/2004,680.3,654.5,25.8,415.3,62.1,3.8,59.7
Kedah,both,01/01/2005,677.8,652.8,25.1,445.6,60.3,3.7,58.1
Kedah,both,01/01/2006,682.4,656.8,25.6,467.2,59.4,3.8,57.1
Kedah,both,01/01/2007,693.1,670.4,22.7,481.6,59,3.3,57
Kedah,both,01/01/2008,703,676,27,497.5,58.6,3.8,56.1
Kedah,both,01/01/2009,732.6,701.5,31.1,496,59.6,4.2,56.9
Kedah,both,01/01/2010,746.9,725.7,21.2,508.9,59.5,2.8,57.7
Kedah,both,01/01/2011,770,743.4,26.6,512,60.1,3.5,57.9
Kedah,both,01/01/2012,810.3,786.9,23.4,502,61.7,2.9,59.9
Kedah,both,01/01/2013,862.8,842.3,20.5,489.9,63.8,2.4,62.2
Kedah,both,01/01/2014,884.1,859.8,24.3,493.5,64.2,2.7,62.4
Kedah,both,01/01/2015,905.3,881.6,23.7,496.5,64.6,2.6,62.6
Kedah,both,01/01/2016,910.9,884.3,26.6,508.4,64.2,2.9,61.9
Kedah,both,01/01/2017,932.7,906.3,26.5,508.2,64.7,2.8,62.6
Kedah,both,01/01/2018,936.7,909.2,27.5,538.9,63.5,2.9,62.2
Kedah,both,01/01/2019,950,923.6,26.3,551.3,63.3,2.8,63
Kedah,both,01/01/2020,904.5,867,37.5,520.6,63.5,4.2,60.9
Kedah,both,01/01/2021,916,880.1,35.9,521.9,63.7,3.9,61.3
Kedah,both,01/01/2022,928,900.4,27.6,518.4,64.2,3,62.3
Kedah,both,01/01/2023,955.1,927.5,27.6,508.5,65.3,2.9,63.5
Kedah,female,01/01/1982,137.1,128.1,8.9,201.2,40.5,6.5,37.4
Kedah,female,01/01/1983,145.1,135.8,9.3,180.5,44.6,6.4,38.6
Kedah,female,01/01/1984,152.5,140,12.4,214.6,41.5,8.1,39.2
Kedah,female,01/01/1985,161.6,144.6,17,211.6,43.3,10.5,39.7
Kedah,female,01/01/1986,153.8,136.8,16.9,235.8,39.5,11,36.9
Kedah,female,01/01/1987,154,138,16,227.1,40.4,10.4,36.6
Kedah,female,01/01/1988,178.4,161.3,17.1,235.8,43.1,9.6,42
Kedah,female,01/01/1989,159.2,148,11.2,224.1,41.5,7,37.9
Kedah,female,01/01/1990,162.8,153.1,9.7,237.3,40.7,6,38.5
Kedah,female,01/01/1992,180.6,173.1,7.6,239.1,43,4.2,41.4
Kedah,female,01/01/1993,160.6,153,7.5,243,39.8,4.7,35.8
Kedah,female,01/01/1995,179.4,175.7,3.7,261.4,40.7,2.1,39.2
Kedah,female,01/01/1996,187.3,183.2,4.1,278.1,40.2,2.2,40
Kedah,female,01/01/1997,211,203.6,7.4,289.9,42.1,3.5,43.4
Kedah,female,01/01/1998,200.1,194.2,5.9,288.8,40.9,3,40.4
Kedah,female,01/01/1999,238.5,230.5,8,325.3,42.3,3.4,46.8
Kedah,female,01/01/2000,228.7,222,6.7,301,43.2,2.9,44
Kedah,female,01/01/2001,267.9,258.5,9.4,352.9,43.2,3.5,50
Kedah,female,01/01/2002,237.1,229.2,7.9,318.6,42.7,3.3,43.3
Kedah,female,01/01/2003,243.3,235.2,8.1,301.7,44.6,3.3,43.5
Kedah,female,01/01/2004,253.8,242.3,11.5,304.2,45.5,4.5,43.9
Kedah,female,01/01/2005,247.1,237.4,9.8,324.8,43.2,4,42.1
Kedah,female,01/01/2006,241.4,232.4,9,343.9,41.2,3.7,40.4
Kedah,female,01/01/2007,249.5,240,9.5,346.8,41.8,3.8,40.9
Kedah,female,01/01/2008,254.2,243,11.2,355.1,41.7,4.4,40.6
Kedah,female,01/01/2009,264.6,251.5,13.1,357.8,42.5,4.9,41.2
Kedah,female,01/01/2010,256.3,248.2,8.1,364.6,41.3,3.2,39.9
Kedah,female,01/01/2011,267.4,257.5,9.9,365.3,42.3,3.7,40.6
Kedah,female,01/01/2012,289.2,279.3,9.9,357.5,44.7,3.4,43.1
Kedah,female,01/01/2013,323.6,313.1,10.5,340.3,48.7,3.3,47.1
Kedah,female,01/01/2014,343.2,331.6,11.5,333.2,50.7,3.4,49
Kedah,female,01/01/2015,356.7,346.5,10.2,330.9,51.9,2.9,50.1
Kedah,female,01/01/2016,357.8,345.1,12.8,338.4,51.4,3.6,49.3
Kedah,female,01/01/2017,367.6,357.4,10.1,338.2,52.1,2.8,50.4
Kedah,female,01/01/2018,363,351.8,11.2,361.6,50.1,3.1,49.2
Kedah,female,01/01/2019,357.8,347.6,10.2,377.8,48.6,2.8,48.3
Kedah,female,01/01/2020,323.6834105,309.7587395,13.92467104,370.3175552,46.64019598,4.301941524,44.6
Kedah,female,01/01/2021,337.2860342,320.0709493,17.21508484,364.8137526,48.03961495,5.104001678,45.7
Kedah,female,01/01/2022,338.264743,323.1611251,15.10361793,368.1356637,47.88569483,4.465028721,45.8
Kedah,female,01/01/2023,354.8933643,339.2864859,15.60687845,357.9682728,49.78432642,4.397624756,47.7
Kedah,male,01/01/1982,266.8,260.8,6,58,82.1,2.2,80.4
Kedah,male,01/01/1983,243.2,237.8,5.4,46.2,84.1,2.2,71.1
Kedah,male,01/01/1984,290.1,277.6,12.6,61.8,82.4,4.3,81.4
Kedah,male,01/01/1985,283.8,269.2,14.6,64.4,81.5,5.1,77.3
Kedah,male,01/01/1986,301.2,281.1,20.1,60.4,83.3,6.7,78.9
Kedah,male,01/01/1987,302.5,282.1,20.4,64.1,82.5,6.7,77.9
Kedah,male,01/01/1988,317.7,298,19.7,60,84.1,6.2,80.9
Kedah,male,01/01/1989,310.9,295.3,15.6,64.6,82.8,5,78.9
Kedah,male,01/01/1990,326.5,314.6,11.9,63.8,83.7,3.7,82.4
Kedah,male,01/01/1992,333.4,322,11.4,66.5,83.4,3.4,81.2
Kedah,male,01/01/1993,332.3,322,10.2,51.9,86.5,3.1,79.1
Kedah,male,01/01/1995,352.3,345.4,6.9,73.9,82.7,2,80.7
Kedah,male,01/01/1996,362.5,352.8,9.7,83.6,81.3,2.7,80.5
Kedah,male,01/01/1997,405.6,397.7,7.9,88.7,82.1,1.9,88.5
Kedah,male,01/01/1998,387,373.2,13.9,83.3,82.3,3.6,81
Kedah,male,01/01/1999,462.9,448.1,14.8,97.1,82.7,3.2,94.9
Kedah,male,01/01/2000,416.6,404.6,12,90.3,82.2,2.9,83.6
Kedah,male,01/01/2001,459.6,442.6,16.9,107.3,81.1,3.7,88.7
Kedah,male,01/01/2002,429.4,415.9,13.5,107.2,80,3.1,80.8
Kedah,male,01/01/2003,436.9,422.5,14.3,106.4,80.4,3.3,79.7
Kedah,male,01/01/2004,426.6,412.3,14.3,111.1,79.3,3.4,75.7
Kedah,male,01/01/2005,430.7,415.4,15.3,120.8,78.1,3.6,74.2
Kedah,male,01/01/2006,441,424.4,16.6,123.3,78.1,3.8,73.8
Kedah,male,01/01/2007,443.6,430.4,13.2,134.8,76.7,3,72.9
Kedah,male,01/01/2008,448.8,433,15.7,142.4,75.9,3.5,71.4
Kedah,male,01/01/2009,468,450,18,138.3,77.2,3.8,72.4
Kedah,male,01/01/2010,490.6,477.5,13.1,144.3,77.3,2.7,75
Kedah,male,01/01/2011,502.5,485.8,16.7,146.8,77.4,3.3,74.7
Kedah,male,01/01/2012,521.1,507.6,13.5,144.4,78.3,2.6,76.2
Kedah,male,01/01/2013,539.2,529.3,9.9,149.6,78.3,1.8,76.8
Kedah,male,01/01/2014,540.9,528.2,12.7,160.2,77.1,2.4,75.3
Kedah,male,01/01/2015,548.6,535.1,13.5,165.6,76.8,2.5,74.7
Kedah,male,01/01/2016,553.1,539.2,13.8,170,76.5,2.5,74.1
Kedah,male,01/01/2017,565.2,548.9,16.3,170.1,76.9,2.9,74.3
Kedah,male,01/01/2018,573.6,557.4,16.3,177.3,76.4,2.8,74.7
Kedah,male,01/01/2019,592.1,576,16.1,173.5,77.3,2.7,77.1
Kedah,male,01/01/2020,580.8487084,557.2344298,23.61427863,150.3224036,79.44087217,4.065478375,76.3
Kedah,male,01/01/2021,578.6826932,560.0288076,18.65388566,157.0593296,78.65293476,3.223508475,76.2
Kedah,male,01/01/2022,589.7294668,577.2790768,12.45039003,150.2544986,79.69489805,2.111203651,78.1
Kedah,male,01/01/2023,600.2031618,588.181,12.02216176,150.566853,79.94500978,2.003015399,78.5
Kelantan,both,01/01/1982,319.4,304.3,15.2,188.9,62.8,4.8,59.5
Kelantan,both,01/01/1983,301.3,282.5,18.8,216.5,58.2,6.2,53.6
Kelantan,both,01/01/1984,341,322.3,18.6,213.1,61.5,5.5,59.9
Kelantan,both,01/01/1985,344.3,323.6,20.7,212.9,61.8,6,59.1
Kelantan,both,01/01/1986,365.1,340.2,24.9,221.2,62.3,6.8,60.7
Kelantan,both,01/01/1987,375,350.5,24.5,217.8,63.3,6.5,61.3
Kelantan,both,01/01/1988,393.9,363.4,30.5,191.2,67.3,7.7,61.8
Kelantan,both,01/01/1989,388.3,363.8,24.5,223.5,63.5,6.3,60.5
Kelantan,both,01/01/1990,390.7,377.7,13.1,220.1,64,3.4,61.1
Kelantan,both,01/01/1992,404.1,382.5,21.6,228.2,63.9,5.3,59
Kelantan,both,01/01/1993,413.7,394.4,19.3,256.1,61.8,4.7,60.1
Kelantan,both,01/01/1995,427.6,412.7,15,250.6,63.1,3.5,61.8
Kelantan,both,01/01/1996,460.8,445.5,15.3,265.9,63.4,3.3,66.2
Kelantan,both,01/01/1997,429.3,413.7,15.6,276.2,60.9,3.6,60.8
Kelantan,both,01/01/1998,449.1,430.7,18.3,281.4,61.5,4.1,62.6
Kelantan,both,01/01/1999,451.1,436.8,14.3,294.2,60.5,3.2,62.6
Kelantan,both,01/01/2000,437.2,425.7,11.5,289,60.2,2.6,60.3
Kelantan,both,01/01/2001,448,434.3,13.7,323.3,58.1,3.1,59.1
Kelantan,both,01/01/2002,439.7,422.7,17,305.1,59,3.9,55.5
Kelantan,both,01/01/2003,491.6,475.7,15.9,320.2,60.6,3.2,60.4
Kelantan,both,01/01/2004,455.1,436.6,18.5,355.5,56.1,4.1,53.9
Kelantan,both,01/01/2005,454.2,438.8,15.4,384.3,54.2,3.4,52.7
Kelantan,both,01/01/2006,469.8,458.4,11.4,396.6,54.2,2.4,53.5
Kelantan,both,01/01/2007,486.2,473.1,13.2,410.3,54.2,2.7,53.6
Kelantan,both,01/01/2008,500.9,486.4,14.5,418.5,54.5,2.9,53.5
Kelantan,both,01/01/2009,517.8,505.2,12.6,432.7,54.5,2.4,54
Kelantan,both,01/01/2010,547.2,534.2,13.1,412.1,57,2.4,55.6
Kelantan,both,01/01/2011,555.4,544.6,10.8,431.7,56.3,2,55
Kelantan,both,01/01/2012,592.3,578.7,13.6,424.8,58.2,2.3,56.7
Kelantan,both,01/01/2013,619.8,602.7,17.1,424.8,59.3,2.8,57.6
Kelantan,both,01/01/2014,646.2,625.2,21,425.2,60.3,3.3,58
Kelantan,both,01/01/2015,676.2,652.1,24.1,415.3,61.9,3.6,59
Kelantan,both,01/01/2016,657.8,632.9,24.9,454.8,59.1,3.8,55.8
Kelantan,both,01/01/2017,701,676,25,446.2,61.1,3.6,58.3
Kelantan,both,01/01/2018,712,683.3,28.6,465.6,60.5,4,57.7
Kelantan,both,01/01/2019,710.5,682.4,28.1,495.4,58.9,4,56.8
Kelantan,both,01/01/2020,645.2,617.9,27.3,496.4,56.5,4.2,54.1
Kelantan,both,01/01/2021,644.2,618.2,26,509.8,55.8,4,53.6
Kelantan,both,01/01/2022,658,634.4,23.7,511.1,56.3,3.6,54.3
Kelantan,both,01/01/2023,685.3,661.1,24.3,510,57.3,3.5,55.3
Kelantan,female,01/01/1982,126.6,119,7.6,139.2,47.6,6,45.2
Kelantan,female,01/01/1983,109.4,100.3,9.1,155.4,41.3,8.3,37
Kelantan,female,01/01/1984,129.7,122.5,7.2,156.2,45.3,5.6,44.3
Kelantan,female,01/01/1985,131.5,124.9,6.6,158,45.4,5,44.3
Kelantan,female,01/01/1986,136.8,127.9,8.9,162.7,45.7,6.5,44.5
Kelantan,female,01/01/1987,144.8,136.4,8.4,162.3,47.2,5.8,46.6
Kelantan,female,01/01/1988,157.2,146.7,10.6,140.3,52.9,6.7,48.7
Kelantan,female,01/01/1989,148.3,140,8.3,165.1,47.3,5.6,45.6
Kelantan,female,01/01/1990,154.7,149.2,5.5,160.1,49.1,3.6,47.3
Kelantan,female,01/01/1992,162,154.2,7.8,169.9,48.8,4.8,46
Kelantan,female,01/01/1993,154.1,144.4,9.7,194.9,44.2,6.3,42.6
Kelantan,female,01/01/1995,166.8,161,5.8,184.2,47.53491023,3.477218225,46.9
Kelantan,female,01/01/1996,184.6,179.1,5.5,198.2,48.22361546,2.979414951,51.9
Kelantan,female,01/01/1997,166.5,158.9,7.5,203.2,45.0487013,4.504504505,45.7
Kelantan,female,01/01/1998,176.3,170,6.3,207.7,45.92341756,3.573454339,48.4
Kelantan,female,01/01/1999,166.1,161.3,4.8,214.7,43.61869748,2.889825406,45.4
Kelantan,female,01/01/2000,163.4,158.9,4.5,211.7,43.56171688,2.753977968,44.3
Kelantan,female,01/01/2001,160.8,153.6,7.2,234.3,40.69855733,4.47761194,41.2
Kelantan,female,01/01/2002,163.1,155.3,7.7,214.4,43.20529801,4.721030043,40.2
Kelantan,female,01/01/2003,189.2,182.8,6.3,226.4,45.52454283,3.4,45.9
Kelantan,female,01/01/2004,165,159.2,5.9,244.7,40.27337076,3.575757576,38.9
Kelantan,female,01/01/2005,159.1,152.8,6.2,264.3,37.6,3.9,36.3
Kelantan,female,01/01/2006,171.2,166.5,4.7,266.2,39.1,2.7,38.6
Kelantan,female,01/01/2007,174.5,168.5,6.1,277.7,38.6,3.5,38
Kelantan,female,01/01/2008,182,175.8,6.2,280.9,39.3,3.4,38.5
Kelantan,female,01/01/2009,188.3,182.9,5.4,290,39.4,2.9,39
Kelantan,female,01/01/2010,200,195.1,4.9,279.3,41.7,2.5,40.6
Kelantan,female,01/01/2011,205.4,201.8,3.5,288.5,41.6,1.7,40.8
Kelantan,female,01/01/2012,225.1,219.3,5.8,283,44.3,2.6,43
Kelantan,female,01/01/2013,240.6,232.9,7.7,281.6,46.1,3.2,44.6
Kelantan,female,01/01/2014,261,251.5,9.6,273.4,48.8,3.7,46.8
Kelantan,female,01/01/2015,269.2,258.1,11.1,274.9,49.5,4.1,47
Kelantan,female,01/01/2016,253.2,242.3,10.9,299.4,45.8,4.3,43
Kelantan,female,01/01/2017,276.3,265.6,10.7,292.2,48.6,3.9,46.1
Kelantan,female,01/01/2018,271.9,257.6,14.3,312.8,46.5,5.3,44
Kelantan,female,01/01/2019,264.6,250.9,13.7,336.4,44,5.2,42.2
Kelantan,female,01/01/2020,237.4549897,224.8998611,12.55512863,332.544933,41.65877578,5.287371997,39.4
Kelantan,female,01/01/2021,238.1325132,226.1402102,11.99230297,338.589628,41.29068336,5.035978837,39.2
Kelantan,female,01/01/2022,242.3944147,232.4637966,9.930618113,341.5676908,41.50858634,4.096884049,39.8
Kelantan,female,01/01/2023,257.6327226,247.1567312,10.47599137,338.1045888,43.24602768,4.066250307,41.5
Kelantan,male,01/01/1982,192.8,185.2,7.6,49.7,79.5,3.9,74.7
Kelantan,male,01/01/1983,191.9,182.2,9.7,61,75.9,5.054715998,71.3
Kelantan,male,01/01/1984,211.2,199.8,11.4,56.9,78.8,5.397727273,76.6
Kelantan,male,01/01/1985,212.8,198.7,14.1,54.9,79.5,6.62593985,74.5
Kelantan,male,01/01/1986,228.3,212.3,16,58.5,79.6,7.008322383,77.8
Kelantan,male,01/01/1987,230.2,214.1,16.1,55.5,80.6,6.993918332,76.6
Kelantan,male,01/01/1988,236.7,216.8,20,50.9,82.3,8.449514153,75.6
Kelantan,male,01/01/1989,240,223.8,16.2,58.4,80.4,6.75,76.1
Kelantan,male,01/01/1990,236.1,228.5,7.6,60,79.7,3.218975011,75.6
Kelantan,male,01/01/1992,242.1,228.3,13.8,58.3,80.6,5.700123916,72.9
Kelantan,male,01/01/1993,259.6,250,9.6,61.2,80.9,3.697996918,78.7
Kelantan,male,01/01/1995,260.9,251.6,9.2,66.4,79.71280171,3.52625527,77.4
Kelantan,male,01/01/1996,276.2,266.4,9.8,67.7,80.31404478,3.548153512,81.1
Kelantan,male,01/01/1997,262.8,254.7,8.1,73,78.26086957,3.082191781,76.6
